INCIDENT_NUMBER,DATE_OCCURED,UOR_DESC,PREMISE_TYPE,OFFICER_ATTACKED
80-19-000082,1/1/2019,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-000093,1/1/2019,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-000107,1/1/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),HOMELESS SHELTER / MISSION,0
80-19-000123,1/1/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),OTHER / UNKNOWN,0
80-19-000130,1/1/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-000140,1/1/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),RESIDENCE / HOME,0
80-19-000157,1/1/2019,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-19-000162,1/1/2019,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-19-000170,1/1/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-000179,12/31/2018,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-000198,1/1/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-000199,1/1/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,RESIDENCE / HOME,0
80-19-000215,1/1/2019,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-19-000219,1/1/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-000222,1/1/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-000241,1/1/2019,"ASSAULT, 4TH DEGREE DATING VIOLENCE (MINOR INJURY)",OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-000248,1/2/2019,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESIDENCE / HOME,0
80-19-000252,1/1/2019,WANTON ENDANGERMENT-1ST DEGREE,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-000253,1/2/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-000293,1/2/2019,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-19-000296,1/1/2019,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-000297,1/2/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-000316,1/2/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-000332,1/2/2019,VIOLATION OF KENTUCKY EPO/DVO,OTHER / UNKNOWN,0
80-19-000350,12/11/2018,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-000365,1/2/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-000379,1/2/2019,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-19-000383,1/2/2019,INTIMIDATING A PARTICIPANT IN LEGAL PROCESS,HIGHWAY / ROAD / ALLEY,0
80-19-000389,12/28/2018,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),HIGHWAY / ROAD / ALLEY,0
80-19-000395,1/2/2019,MENACING,RESIDENCE / HOME,0
80-19-000404,1/2/2019,WANTON ENDANGERMENT-1ST DEGREE,HIGHWAY / ROAD / ALLEY,0
80-19-000409,1/2/2019,MURDER ATTEMPTED,RESIDENCE / HOME,0
80-19-000414,1/2/2019,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-000418,1/2/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-000421,1/2/2019,TERRORISTIC THREATENING 3RD DEGREE,DRUG STORE/DR`S OFFICE/HOSPITAL,0
80-19-000429,1/2/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-000433,12/13/2018,TERRORISTIC THREATENING 3RD DEGREE,COMMERCIAL / OFFICE BUILDING,0
80-19-000453,1/2/2019,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESIDENCE / HOME,0
80-19-000468,1/2/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),RESTAURANT,0
80-19-000469,1/2/2019,HARASSMENT (NO PHYSICAL CONTACT),OTHER / UNKNOWN,0
80-19-000474,1/2/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-000482,1/2/2019,HARASSMENT - PHYSICAL CONTACT - NO INJURY,HOMELESS SHELTER / MISSION,0
80-19-000486,1/2/2019,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-000500,1/2/2019,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-19-000503,1/2/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-000512,1/2/2019,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,RESIDENCE / HOME,1
80-19-000514,12/31/2018,HARASSMENT - PHYSICAL CONTACT - NO INJURY,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-000517,1/2/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,HIGHWAY / ROAD / ALLEY,0
80-19-000529,1/3/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,RESIDENCE / HOME,0
80-19-000532,1/2/2019,KIDNAPPING-ADULT,SERVICE / GAS STATION,0
80-19-000535,1/3/2019,VIOLATION OF KENTUCKY EPO/DVO,HIGHWAY / ROAD / ALLEY,0
80-19-000542,1/3/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-000543,5/1/2018,TERRORISTIC THREATENING 1ST DEGREE,RESIDENCE / HOME,0
80-19-000552,1/3/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),RESIDENCE / HOME,0
80-19-000555,1/3/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),COMMERCIAL / OFFICE BUILDING,0
80-19-000559,1/3/2019,WANTON ENDANGERMENT-1ST DEGREE,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-000571,1/3/2019,TERRORISTIC THREATENING 3RD DEGREE,HIGHWAY / ROAD / ALLEY,0
80-19-000573,1/1/2019,MENACING,RESIDENCE / HOME,1
80-19-000605,1/3/2019,VIOLATION OF KENTUCKY EPO/DVO,OTHER / UNKNOWN,0
80-19-000611,1/3/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,OTHER / UNKNOWN,0
80-19-000632,12/31/2018,CUSTODIAL INTERFERENCE-FELONY,RESIDENCE / HOME,0
80-19-000640,1/1/2018,KNOWING WANTON/RECKLESS EXPLOIT OF ADULT BY PERSON $300 OR <,RESIDENCE / HOME,0
80-19-000654,1/3/2019,HARASSMENT - PHYSICAL CONTACT - NO INJURY,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-000657,1/1/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),BAR / NIGHT CLUB,0
80-19-000668,1/3/2019,ASSAULT - 1ST DEGREE,CONVENIENCE STORE,0
80-19-000670,1/3/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-000678,1/3/2019,WANTON ENDANGERMENT-1ST DEGREE,HIGHWAY / ROAD / ALLEY,0
80-19-000686,1/2/2019,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-000692,1/3/2019,"ASSAULT, 4TH DEGREE DATING VIOLENCE (NO VISIBLE INJURY)",RESIDENCE / HOME,0
80-19-000697,1/3/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-000703,1/1/2019,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-000716,12/23/2018,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),HIGHWAY / ROAD / ALLEY,0
80-19-000717,1/3/2019,ASSAULT - 2ND DEGREE,CONVENIENCE STORE,0
80-19-000735,1/3/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-000736,1/3/2019,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-19-000742,1/3/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-000746,1/3/2019,HARASSMENT (NO PHYSICAL CONTACT),OTHER / UNKNOWN,0
80-19-000757,1/3/2019,ENDANGERING THE WELFARE OF A MINOR,HIGHWAY / ROAD / ALLEY,0
80-19-000758,1/3/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-000765,1/3/2019,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-19-000771,1/3/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESTAURANT,0
80-19-000774,1/3/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-000778,1/4/2019,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-19-000788,1/4/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-000789,1/4/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-000790,1/4/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,OTHER / UNKNOWN,0
80-19-000796,1/4/2019,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-000821,12/29/2018,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-000845,1/4/2019,VIOLATION OF KENTUCKY EPO/DVO,CYBERSPACE,0
80-19-000848,1/3/2019,CUSTODIAL INTERFERENCE-FELONY,RESIDENCE / HOME,0
80-19-000855,1/4/2019,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-19-000856,1/4/2019,UNLAWFUL IMPRISONMENT-1ST DEGREE,RESIDENCE / HOME,0
80-19-000877,1/4/2019,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-000891,12/30/2018,ASSAULT - 2ND DEGREE,PARKING LOT / GARAGE,0
80-19-000944,1/4/2019,MENACING,OTHER RESIDENCE (APARTMENT/CONDO),1
80-19-000977,1/4/2019,HARASSMENT - PHYSICAL CONTACT - NO INJURY,CONVENIENCE STORE,0
80-19-001012,1/4/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),RESIDENCE / HOME,0
80-19-001019,1/4/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-001034,12/31/2018,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-001041,1/4/2019,HARASSMENT (NO PHYSICAL CONTACT),RESIDENCE / HOME,0
80-19-001055,1/5/2019,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESIDENCE / HOME,0
80-19-001056,1/5/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),CONVENIENCE STORE,0
80-19-001070,12/28/2018,TERRORISTIC THREATENING 3RD DEGREE,COMMERCIAL / OFFICE BUILDING,0
80-19-001072,1/5/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-001081,1/5/2019,HARASSMENT (NO PHYSICAL CONTACT),RESIDENCE / HOME,0
80-19-001090,1/5/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),RESIDENCE / HOME,0
80-19-001095,1/5/2019,UNLAWFUL IMPRISONMENT-2ND DEGREE,RESIDENCE / HOME,0
80-19-001097,1/5/2019,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-19-001102,1/5/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,HIGHWAY / ROAD / ALLEY,0
80-19-001104,1/5/2019,TERRORISTIC THREATENING 3RD DEGREE,DRUG STORE/DR`S OFFICE/HOSPITAL,0
80-19-001118,1/5/2019,"ASSAULT, 4TH DEGREE DATING VIOLENCE (MINOR INJURY)",RESIDENCE / HOME,0
80-19-001128,1/5/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,RESIDENCE / HOME,0
80-19-001135,1/5/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-001140,1/5/2019,ASSAULT - 2ND DEGREE,RESIDENCE / HOME,0
80-19-001143,1/5/2019,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-001155,1/5/2019,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-19-001161,1/5/2019,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-19-001165,1/5/2019,HARASSMENT - PHYSICAL CONTACT - NO INJURY,HOTEL / MOTEL / ETC.,0
80-19-001169,1/5/2019,WANTON ENDANGERMENT-1ST DEGREE,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-001193,1/5/2019,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESIDENCE / HOME,0
80-19-001204,1/1/2019,HARASSMENT (NO PHYSICAL CONTACT),RESIDENCE / HOME,0
80-19-001215,1/5/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),HIGHWAY / ROAD / ALLEY,0
80-19-001216,1/5/2019,HARASSMENT (NO PHYSICAL CONTACT),RESIDENCE / HOME,0
80-19-001220,1/5/2019,ASSAULT - 2ND DEGREE - DOMESTIC VIOLENCE,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-001226,1/5/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,RESIDENCE / HOME,0
80-19-001231,1/5/2019,WANTON ENDANGERMENT-1ST DEGREE,HIGHWAY / ROAD / ALLEY,0
80-19-001246,1/5/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,RESIDENCE / HOME,0
80-19-001252,1/4/2019,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-001253,1/5/2019,WANTON ENDANGERMENT-1ST DEGREE,HIGHWAY / ROAD / ALLEY,0
80-19-001264,1/5/2019,VIOLATION OF KENTUCKY EPO/DVO,OTHER / UNKNOWN,0
80-19-001269,1/5/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,RESIDENCE / HOME,0
80-19-001275,1/5/2019,TERRORISTIC THREATENING 3RD DEGREE,BAR / NIGHT CLUB,0
80-19-001294,1/5/2019,ASSAULT - 1ST DEGREE,HIGHWAY / ROAD / ALLEY,0
80-19-001296,1/6/2019,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),RESIDENCE / HOME,0
80-19-001303,1/6/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),RESIDENCE / HOME,0
80-19-001306,1/6/2019,ASSAULT - 2ND DEGREE,HIGHWAY / ROAD / ALLEY,0
80-19-001309,1/6/2019,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),RESIDENCE / HOME,0
80-19-001311,1/6/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-001313,1/6/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),BAR / NIGHT CLUB,0
80-19-001345,1/6/2019,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-19-001347,1/6/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-001350,1/6/2019,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-19-001351,1/6/2019,WANTON ENDANGERMENT-2ND DEGREE,HIGHWAY / ROAD / ALLEY,0
80-19-001354,1/6/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),RESIDENCE / HOME,0
80-19-001358,1/6/2019,VIOLATION OF KENTUCKY EPO/DVO,HIGHWAY / ROAD / ALLEY,0
80-19-001362,1/5/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),HIGHWAY / ROAD / ALLEY,0
80-19-001366,1/6/2019,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESIDENCE / HOME,0
80-19-001381,12/23/2018,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),RESIDENCE / HOME,0
80-19-001391,1/6/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-001395,1/6/2019,TERRORISTIC THREATENING 3RD DEGREE,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-001403,1/6/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,PARKING LOT / GARAGE,0
80-19-001407,1/6/2019,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESIDENCE / HOME,0
80-19-001460,1/6/2019,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-19-001466,1/6/2019,TERRORISTIC THREATENING 3RD DEGREE,PARKING LOT / GARAGE,0
80-19-001486,1/6/2019,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),RESIDENCE / HOME,0
80-19-001489,1/6/2019,ASSAULT - 4TH DEGREE (CHILD ABUSE),OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-001494,1/7/2019,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-19-001495,1/7/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-001501,1/6/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),RESIDENCE / HOME,0
80-19-001502,1/6/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-001514,1/1/2015,KNOWINGLY EXPLOIT ADULT BY PERSON O/$300,RESIDENCE / HOME,0
80-19-001528,1/7/2019,VIOLATION OF KENTUCKY EPO/DVO,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-001533,1/7/2019,ASSAULT - 2ND DEGREE - DOMESTIC VIOLENCE,HOTEL / MOTEL / ETC.,0
80-19-001538,1/6/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-001556,1/7/2019,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-19-001557,9/19/2018,ASSAULT - 2ND DEGREE,RESIDENCE / HOME,0
80-19-001560,1/7/2019,WANTON ENDANGERMENT-2ND DEGREE,RESIDENCE / HOME,0
80-19-001564,1/7/2019,WANTON ENDANGERMENT-1ST DEGREE,HIGHWAY / ROAD / ALLEY,0
80-19-001566,12/30/2018,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-19-001571,1/7/2019,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-19-001576,1/7/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-001596,1/4/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),RESIDENCE / HOME,0
80-19-001608,1/7/2019,VIOLATION OF KENTUCKY EPO/DVO,OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-001625,1/7/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-001640,1/7/2019,TERRORISTIC THREATENING 3RD DEGREE,SCHOOL - ELEMENTARY / SECONDARY,0
80-19-001702,1/7/2019,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-001736,1/7/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-001740,1/7/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-001744,1/7/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-001747,1/7/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-001750,1/7/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),RESIDENCE / HOME,0
80-19-001752,1/7/2019,WANTON ENDANGERMENT-1ST DEGREE,HIGHWAY / ROAD / ALLEY,0
80-19-001770,1/7/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-001772,1/7/2019,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),RESIDENCE / HOME,0
80-19-001778,1/7/2019,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-19-001786,1/7/2019,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-001801,1/8/2019,ASSAULT - 2ND DEGREE - DOMESTIC VIOLENCE,HIGHWAY / ROAD / ALLEY,0
80-19-001802,1/8/2019,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-19-001818,1/8/2019,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-19-001826,1/8/2019,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),SCHOOL - ELEMENTARY / SECONDARY,0
80-19-001845,12/30/2018,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-19-001846,1/7/2018,HARASSMENT (NO PHYSICAL CONTACT),RESIDENCE / HOME,0
80-19-001876,1/7/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),HIGHWAY / ROAD / ALLEY,0
80-19-001895,1/8/2019,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),OTHER RESIDENCE (APARTMENT/CONDO),0
80-19-001901,1/8/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),RESIDENCE / HOME,0
80-19-001921,11/26/2018,CRIMINAL ABUSE-1ST DEGREE-CHILD 12 OR UNDER,RESIDENCE / HOME,0
80-19-001931,1/8/2019,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-19-001941,1/7/2019,MENACING,RESIDENCE / HOME,0
80-19-001954,1/4/2019,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESTAURANT,0
80-19-001964,1/8/2019,ASSAULT - 4TH DEGREE (MINOR INJURY),HIGHWAY / ROAD / ALLEY,0
80-19-001967,1/7/2019,TERRORISTIC THREATENING 3RD DEGREE,HIGHWAY / ROAD / ALLEY,0
80-19-001968,1/8/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-001981,1/8/2019,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-19-001985,1/8/2019,KIDNAPPING-ADULT,RESIDENCE / HOME,0
80-19-001990,1/8/2019,MENACING,RESIDENCE / HOME,0
80-19-002010,12/17/2018,HARASSMENT (NO PHYSICAL CONTACT),COMMERCIAL / OFFICE BUILDING,0
