ID,INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,CRIME_TYPE,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,UOR_DESC,LEOKA_APPLIES,OFFICER_KILLED,TYPE_OF_ASSIGNMENT,TYPE_OF_ACTIVITY,OFFENSE_CITY,OFFENSE_ZIP
11,80-10-009253,2/7/2010 16:55,2/7/2010 16:24,ASSAULT,13B,PART II,COMPLETED,3RD DIVISION,331,RESIDENCE / HOME,5300 BLOCK VISTA JOHN DR                                    ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),DOMESTIC DISTURBANCE,LOUISVILLE,40214
12,80-10-008157,2/3/2010 7:59,2/3/2010 7:59,ASSAULT,13C,PART II,COMPLETED,4TH DIVISION,412,SCHOOL - ELEMENTARY / SECONDARY,800 BLOCK S JACKSON ST                                      ,TERRORISTIC THREATENING 2ND DEGREE,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40203
13,80-10-009405,1/30/2010 18:23,1/30/2010 18:23,ASSAULT,13C,PART II,COMPLETED,1ST DIVISION,123,HIGHWAY / ROAD / ALLEY,400 BLOCK S 5TH ST                                          ,TERRORISTIC THREATENING 3RD DEGREE,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE,LOUISVILLE,40202
14,80-10-010039,2/4/2010 3:32,2/4/2010 3:32,ASSAULT,13C,PART II,COMPLETED,3RD DIVISION,315,BAR / NIGHT CLUB,8200 BLOCK DIXIE HWY                                        ,MENACING,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LVIL,40258
15,80-10-010581,2/13/2010 4:06,2/13/2010 4:06,ASSAULT,13C,PART II,COMPLETED,4TH DIVISION,411,HIGHWAY / ROAD / ALLEY,S 7TH ST / YORK ST                                          ,TERRORISTIC THREATENING 3RD DEGREE,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40203
16,80-10-012899,2/12/2010 17:51,2/12/2010 17:51,ASSAULT,13C,PART II,COMPLETED,6TH DIVISION,613,RESIDENCE / HOME,5500 BLOCK REDONDO CIR                                      ,MENACING,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),DOMESTIC DISTURBANCE,LOUISVILLE,40218
17,80-10-012981,2/23/2010 15:21,2/22/2010 22:10,ASSAULT,13B,PART II,COMPLETED,3RD DIVISION,331,RESIDENCE / HOME,7000 BLOCK BEECHLAND AVE                                    ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40258
18,80-10-006425,1/27/2010 0:44,1/27/2010 0:22,ASSAULT,13A,PART I,COMPLETED,3RD DIVISION,331,HIGHWAY / ROAD / ALLEY,5200 BLOCK MOUNT HOLYOKE DR                                 ,WANTON ENDANGERMENT-1ST DEGREE,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),TRAFFIC PURSUIT OR STOPS,LOUISVILLE,40216
19,80-10-014466,2/28/2010 16:56,2/28/2010 16:56,ASSAULT,13C,PART II,COMPLETED,4TH DIVISION,411,HIGHWAY / ROAD / ALLEY,800 BLOCK S 6TH ST                                          ,MENACING,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40203
20,80-10-013105,2/23/2010 22:34,2/23/2010 22:34,ASSAULT,13C,PART II,COMPLETED,4TH DIVISION,435,HIGHWAY / ROAD / ALLEY,4400 BLOCK TAYLOR BLVD                                      ,TERRORISTIC THREATENING 3RD DEGREE,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40215
21,80-10-013507,2/25/2010 13:27,2/25/2010 13:27,ASSAULT,13C,PART II,COMPLETED,3RD DIVISION,322,HIGHWAY / ROAD / ALLEY,IROQUOIS AVE / GRANT AVE                                    ,TERRORISTIC THREATENING 3RD DEGREE,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40214
22,80-10-016396,3/8/2010 14:43,3/8/2010 14:43,ASSAULT,13B,PART II,COMPLETED,3RD DIVISION,331,PARKING LOT / GARAGE,7200 BLOCK DIXIE HWY                                        ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40258
23,80-10-017185,3/8/2010 23:50,3/8/2010 23:50,ASSAULT,13C,PART II,COMPLETED,4TH DIVISION,411,HIGHWAY / ROAD / ALLEY,S 2ND ST / W MAGNOLIA AVE                                   ,TERRORISTIC THREATENING 3RD DEGREE,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40208
24,80-10-017582,1/5/2010 10:12,1/5/2010 10:12,ASSAULT,13C,PART II,COMPLETED,1ST DIVISION,112,JAIL / PENITENTARY,2800 BLOCK W MUHAMMAD ALI BLVD                              ,TERRORISTIC THREATENING 3RD DEGREE,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),"HANDLING, TRANSPORTING, CUSTODY OF PRISONERS",LOUISVILLE,40212
25,80-10-002010,1/10/2010 4:06,1/10/2010 4:06,ASSAULT,13C,PART II,COMPLETED,2ND DIVISION,223,HIGHWAY / ROAD / ALLEY,S 16TH ST / WILSON AVE                                      ,TERRORISTIC THREATENING 3RD DEGREE,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40210
26,80-10-017365,3/11/2010 21:34,3/11/2010 21:34,ASSAULT,13C,PART II,COMPLETED,4TH DIVISION,412,RESIDENCE / HOME,600 BLOCK E OAK ST                                          ,MENACING,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40203
27,80-10-018723,3/15/2010 20:04,3/15/2010 20:04,ASSAULT,13C,PART II,COMPLETED,6TH DIVISION,625,HIGHWAY / ROAD / ALLEY,3300 BLOCK BARDSTOWN RD                                     ,TERRORISTIC THREATENING 3RD DEGREE,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40218
28,80-10-017655,3/12/2010 17:16,3/12/2010 17:16,ASSAULT,13C,PART II,COMPLETED,6TH DIVISION,624,RESTAURANT,OLD SHEPHERDSVILLE RD / SHEPHERDSVILLE RD                   ,MENACING,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,WEST_BUECHEL,40218
29,80-10-018419,3/16/2010 2:10,3/16/2010 2:10,ASSAULT,13C,PART II,COMPLETED,4TH DIVISION,412,HIGHWAY / ROAD / ALLEY,E OAK ST / S SHELBY ST                                      ,MENACING,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40203
30,80-10-021277,3/17/2010 17:18,3/17/2010 17:18,ASSAULT,13C,PART II,COMPLETED,1ST DIVISION,111,GROCERY / SUPERMARKET,S 25TH ST  / W MARKET ST                                    ,OBSTRUCTING GOVERNMENTAL OPERATIONS,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),ATTEMPTING OTHER ARREST,LOUISVILLE,40212
31,80-10-019519,3/19/2010 17:49,3/19/2010 17:49,ASSAULT,13A,PART I,COMPLETED,2ND DIVISION,212,HIGHWAY / ROAD / ALLEY,W BROADWAY / CECIL AVE                                      ,WANTON ENDANGERMENT-1ST DEGREE,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40211
32,80-10-023576,4/2/2010 20:47,4/2/2010 20:47,ASSAULT,13B,PART II,COMPLETED,1ST DIVISION,123,JAIL / PENITENTARY,400 BLOCK S 6TH ST                                          ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),ATTEMPTING OTHER ARREST,LOUISVILLE,40202
33,80-10-024313,4/5/2010 22:40,4/5/2010 22:40,ASSAULT,13C,PART II,COMPLETED,3RD DIVISION,315,HIGHWAY / ROAD / ALLEY,6700 BLOCK MORNING STAR WAY                                 ,TERRORISTIC THREATENING 3RD DEGREE,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40272
34,80-10-024835,4/7/2010 17:12,4/7/2010 17:12,ASSAULT,13B,PART II,COMPLETED,4TH DIVISION,411,PARKING LOT / GARAGE,400 BLOCK W OAK ST                                          ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE,LOUISVILLE,40203
35,80-10-028156,4/12/2010 20:32,4/12/2010 20:32,ASSAULT,13C,PART II,COMPLETED,1ST DIVISION,111,HIGHWAY / ROAD / ALLEY,N 18TH ST / LYTLE ST                                        ,TERRORISTIC THREATENING 3RD DEGREE,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),ATTEMPTING OTHER ARREST,LOUISVILLE,40203
36,80-10-025444,4/9/2010 23:00,4/9/2010 23:00,ASSAULT,13C,PART II,COMPLETED,2ND DIVISION,211,PARKING LOT / GARAGE,500 BLOCK S 34TH ST                                         ,MENACING,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),ATTEMPTING OTHER ARREST,LOUISVILLE,40211
37,80-10-025780,4/11/2010 9:08,4/11/2010 9:08,ASSAULT,13B,PART II,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY,900 BLOCK DENMARK ST                                        ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE,LOUISVILLE,40215
38,80-10-025658,4/10/2010 19:11,4/10/2010 19:11,ASSAULT,13B,PART II,COMPLETED,1ST DIVISION,123,OTHER / UNKNOWN,300 BLOCK W LIBERTY ST                                      ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),"HANDLING, TRANSPORTING, CUSTODY OF PRISONERS",LVIL,40202
39,80-10-029002,4/22/2010 0:55,4/22/2010 0:55,ASSAULT,13B,PART II,COMPLETED,1ST DIVISION,123,HIGHWAY / ROAD / ALLEY,S 8TH ST / W CHESTNUT ST                                    ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40203
40,80-10-031106,4/27/2010 22:35,4/27/2010 22:35,ASSAULT,13C,PART II,COMPLETED,5TH DIVISION,512,HIGHWAY / ROAD / ALLEY,CHEROKEE RD / HIGHLAND AVE                                  ,TERRORISTIC THREATENING 3RD DEGREE,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40204
41,80-10-032350,5/3/2010 11:21,5/3/2010 11:21,ASSAULT,13C,PART II,COMPLETED,4TH DIVISION,411,HIGHWAY / ROAD / ALLEY,900 BLOCK S 3RD ST                                          ,TERRORISTIC THREATENING 3RD DEGREE,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40203
42,80-10-031815,5/1/2010 17:02,5/1/2010 17:02,ASSAULT,13B,PART II,COMPLETED,4TH DIVISION,424,OTHER / UNKNOWN,700 BLOCK CENTRAL AVE                                       ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40208
43,80-10-033758,5/7/2010 21:02,5/7/2010 21:02,ASSAULT,13C,PART II,COMPLETED,4TH DIVISION,424,RESIDENCE / HOME,700 BLOCK IOWA AVE                                          ,TERRORISTIC THREATENING 1ST DEGREE,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40208
44,80-10-035644,4/26/2010 9:47,4/26/2010 9:47,ASSAULT,13C,PART II,COMPLETED,8TH DIVISION,812,HIGHWAY / ROAD / ALLEY,GREENLAWN RD / HERR LN                                      ,WANTON ENDANGERMENT-2ND DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40222
45,80-10-031023,4/28/2010 21:41,4/28/2010 21:41,ASSAULT,13B,PART II,COMPLETED,1ST DIVISION,123,HIGHWAY / ROAD / ALLEY,1200 BLOCK CEDAR CT                                         ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE,LOUISVILLE,40203
46,80-10-031023,4/28/2010 21:41,4/28/2010 21:41,ASSAULT,13B,PART II,COMPLETED,1ST DIVISION,123,HIGHWAY / ROAD / ALLEY,1200 BLOCK CEDAR CT                                         ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE,LOUISVILLE,40203
47,80-10-036122,5/16/2010 1:25,5/16/2010 1:25,ASSAULT,13A,PART I,COMPLETED,4TH DIVISION,423,OTHER RESIDENCE (APARTMENT/CONDO),GEORGETOWN PL / LAFAYETTE DR                                ,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40215
48,80-10-038522,5/24/2010 12:42,5/24/2010 12:42,ASSAULT,13B,PART II,COMPLETED,1ST DIVISION,135,HIGHWAY / ROAD / ALLEY,S 1ST ST / E BROADWAY                                       ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40202
49,80-10-038522,5/24/2010 12:42,5/24/2010 12:42,ASSAULT,13B,PART II,COMPLETED,1ST DIVISION,135,HIGHWAY / ROAD / ALLEY,S 1ST ST / E BROADWAY                                       ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40202
50,80-10-037591,5/20/2010 19:51,5/20/2010 19:51,ASSAULT,13C,PART II,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME,600 BLOCK MIX AVE                                           ,MENACING,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),DOMESTIC DISTURBANCE,LOUISVILLE,40208
51,80-10-039419,5/25/2010 7:38,5/25/2010 7:11,ASSAULT,13C,PART II,COMPLETED,3RD DIVISION,331,RESIDENCE / HOME,2500 BLOCK PENNACOOK RD                                     ,WANTON ENDANGERMENT-2ND DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),DOMESTIC DISTURBANCE,LOUISVILLE,40214
52,80-10-039419,5/25/2010 7:38,5/25/2010 7:11,ASSAULT,13C,PART II,COMPLETED,3RD DIVISION,331,RESIDENCE / HOME,2500 BLOCK PENNACOOK RD                                     ,WANTON ENDANGERMENT-2ND DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),DOMESTIC DISTURBANCE,LOUISVILLE,40214
53,80-10-041164,6/1/2010 23:40,6/1/2010 23:30,ASSAULT,13C,PART II,,4TH DIVISION,423,,1500 BLOCK BERRY BLVD                                       ,TERRORISTIC THREATENING 3RD DEGREE,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE,LOUISVILLE,40215
54,80-10-041164,6/1/2010 23:40,6/1/2010 23:30,ASSAULT,13C,PART II,COMPLETED,4TH DIVISION,423,PARKING LOT / GARAGE,1500 BLOCK BERRY BLVD                                       ,MENACING,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE,LOUISVILLE,40215
55,80-10-041992,6/4/2010 21:07,6/4/2010 21:00,ASSAULT,13A,PART I,COMPLETED,6TH DIVISION,612,HIGHWAY / ROAD / ALLEY,I65S AT FERN VALLEY RD                                      ,WANTON ENDANGERMENT-1ST DEGREE,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40213
56,80-10-041992,6/4/2010 21:07,6/4/2010 21:00,ASSAULT,13C,PART II,COMPLETED,6TH DIVISION,612,HIGHWAY / ROAD / ALLEY,I65S AT FERN VALLEY RD                                      ,TERRORISTIC THREATENING 1ST DEGREE,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40213
57,80-10-041992,6/4/2010 21:07,6/4/2010 21:00,ASSAULT,13C,PART II,COMPLETED,6TH DIVISION,612,HIGHWAY / ROAD / ALLEY,I65S AT FERN VALLEY RD                                      ,TERRORISTIC THREATENING 1ST DEGREE,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40213
58,80-10-041992,6/4/2010 21:07,6/4/2010 21:00,ASSAULT,13A,PART I,COMPLETED,6TH DIVISION,612,HIGHWAY / ROAD / ALLEY,I65S AT FERN VALLEY RD                                      ,WANTON ENDANGERMENT-1ST DEGREE,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40213
59,80-10-041992,6/4/2010 21:07,6/4/2010 21:00,ASSAULT,13A,PART I,COMPLETED,6TH DIVISION,612,HIGHWAY / ROAD / ALLEY,I65S AT FERN VALLEY RD                                      ,WANTON ENDANGERMENT-1ST DEGREE,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),"HANDLING, TRANSPORTING, CUSTODY OF PRISONERS",LOUISVILLE,40213
60,80-10-041992,6/4/2010 21:07,6/4/2010 21:00,ASSAULT,13C,PART II,COMPLETED,6TH DIVISION,612,HIGHWAY / ROAD / ALLEY,I65S AT FERN VALLEY RD                                      ,TERRORISTIC THREATENING 1ST DEGREE,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),"HANDLING, TRANSPORTING, CUSTODY OF PRISONERS",LOUISVILLE,40213
61,80-10-041992,6/4/2010 21:07,6/4/2010 21:00,ASSAULT,13C,PART II,COMPLETED,6TH DIVISION,612,HIGHWAY / ROAD / ALLEY,I65S AT FERN VALLEY RD                                      ,TERRORISTIC THREATENING 1ST DEGREE,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40213
62,80-10-041992,6/4/2010 21:07,6/4/2010 21:00,ASSAULT,13A,PART I,COMPLETED,6TH DIVISION,612,HIGHWAY / ROAD / ALLEY,I65S AT FERN VALLEY RD                                      ,WANTON ENDANGERMENT-1ST DEGREE,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40213
63,80-10-043155,6/9/2010 4:00,6/9/2010 2:17,ASSAULT,13B,PART II,COMPLETED,7TH DIVISION,736,RESIDENCE / HOME,9000 BLOCK WILLOWCREEK DR                                   ,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40219
64,80-10-043155,6/9/2010 4:00,6/9/2010 2:17,ASSAULT,13B,PART II,COMPLETED,7TH DIVISION,736,DRUG STORE/DR`S OFFICE/HOSPITAL,9000 BLOCK WILLOWCREEK DR                                   ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40219
65,80-10-045249,6/15/2010 22:31,6/15/2010 22:00,ASSAULT,13C,PART II,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME,1200 BLOCK WELLER AVE                                       ,MENACING,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40208
66,80-10-036000,5/15/2010 16:34,5/15/2010 16:34,ASSAULT,13B,PART II,COMPLETED,1ST DIVISION,135,HIGHWAY / ROAD / ALLEY,E LIBERTY ST / S PRESTON ST                                 ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),ATTEMPTING OTHER ARREST,LVIL,40202
67,80-10-048812,6/25/2010 17:00,6/25/2010 15:54,ASSAULT,13C,PART II,COMPLETED,4TH DIVISION,412,HIGHWAY / ROAD / ALLEY,800 BLOCK E OAK ST                                          ,MENACING,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40203
68,80-10-047665,6/24/2010 11:20,6/24/2010 11:00,ASSAULT,13C,PART II,COMPLETED,4TH DIVISION,411,HIGHWAY / ROAD / ALLEY,S 3RD ST / W ST CATHERINE ST                                ,TERRORISTIC THREATENING 3RD DEGREE,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE,LOUISVILLE,40203
69,80-10-049398,6/27/2010 4:12,6/27/2010 4:10,ASSAULT,13C,PART II,COMPLETED,1ST DIVISION,123,BAR / NIGHT CLUB,400 BLOCK S 4TH ST                                          ,MENACING,YES,NO,"OTHER ASSISTED (FOOT, OFF DUTY, ETC)",ALL OTHER,LVIL,40202
